Name,sym,DividendYield_TTM,Profile,MarketCap,EnterpriseValue,PE_Ratio_TTM,ForwardPE,PEG_Ratio,PriceSales_TTM,PriceBook_MRQ,Revenue_TTM,RevenuePerShare_TTM,GrossProfit_TTM,EBITDA_TTM,NetIncome_TTM,DilutedEPS_TTM,QuarterlyEarningsGrowth_YOY,TotalCash,TotalCashPerShare_MRQ,TotalDebt_MRQ,TotalDebtEquity_MRQ,CurrentRatio_MRQ,BookValuePerShare_MRQ,OperatingCashFlow_TTM,LeveredCashFlow_TTM,PriceTarget_1Yr,NoOfAnalysts_currQ,AvgEstimateEPS_currQ,LowEstimateEPS_currQ,HighEstimateEPS_currQ,YearAgoEPS_currQ,UpEPSRev_last30days,LowerEPSRev_last30days,AnalystConsensus,AnalystScore_1_sBUY_to_5_sSELL,CEO,Sector,Industry,Employees
The Coca Cola Company,KO,0.032,"The Coca-Cola Company, a beverage company, manufactures and distributes various nonalcoholic beverages worldwide. The company provides water, enhanced water, and sports drinks; juices; juice, dairy, and plant?based beverages; teas and coffees; and energy drinks. It also offers concentrates, syrups, beverage bases, source waters, and powders/minerals, as well as fountain syrups to fountain retailers, such as restaurants and convenience stores. The company sells its products primarily under the Coca-Cola, Diet Coke/Coca-Cola Light, Coca-Cola Zero Sugar, Fanta, Sprite, Minute Maid, Georgia, Powerade, Del Valle, Schweppes, Aquarius, Minute Maid Pulpy, Dasani, Simply, Glacéau Vitaminwater, Gold Peak, FUZE TEA, Glacéau Smartwater, Ice Dew, I LOHAS, and Ayataka brand names. The Coca-Cola Company offers its beverage products through a network of company-owned or controlled bottling and distribution operators, as well as through independent bottling partners, distributors, wholesalers, and retailers. The company was founded in 1886 and is headquartered in Atlanta, Georgia.",196530000000.00,220000000000.00,137.53,20.54,3.06,5.79,10.04,33920000000.00,7.95,22150000000.00,10910000000.00,1260000000.00,0.34,0.16,21370000000.00,5.02,48990000000.00,226.64,1.21,4.60,7000000000.00,3430000000.00,50.57,20.00,0.55,0.53,0.60,0.50,4.00,10.00,Buy,2.3,Mr. James Robert B. Quincey,Consumer Defensive,Beverages - Soft Drinks,61800
Facebook,FB,n/a,"Facebook, Inc. provides various products to connect and share through mobile devices, personal computers, and other surfaces worldwide. Its products include Facebook Website and mobile application that enables people to connect, share, discover, and communicate with each other on mobile devices and personal computers; Instagram, a community for sharing visual stories through photos, videos, and direct messages; Messenger, a messaging application to communicate with other people, groups, and businesses across various platforms and devices; and WhatsApp, a mobile messaging application. The company also offers Oculus virtual reality technology and content platform, which allows people to enter an immersive and an interactive environment to train, learn, play games, consume content, and connect with others. As of December 31, 2017, it had approximately 1.40 billion daily active users. Facebook, Inc. was founded in 2004 and is headquartered in Menlo Park, California.",506240000000.00,549000000000.00,28.95,20.53,1.13,11.35,6.54,44590000000.00,15.35,35200000000.00,25630000000.00,17850000000.00,6.04,0.63,43960000000.00,15.19,n/a,n/a,9.91,26.75,27020000000.00,13120000000.00,212.35,36.00,1.53,1.29,2.18,1.59,1.00,3.00,Strong Buy,1.8,Mr. Mark Elliot Zuckerberg,Technology,Internet Content & Information,27742
Microsoft,MFST,0.017,"Microsoft Corporation develops, licenses, and supports software products, services, and devices worldwide. The company's Productivity and Business Processes segment offers Office 365 commercial products and services for businesses, including Office, Exchange, SharePoint, Skype for Business, and related Client Access Licenses (CALs); Office 365 consumer services, such as Skype, Outlook.com, and OneDrive; Dynamics business solutions, such as financial management, enterprise resource planning, customer relationship management, supply chain management, and analytics applications for small and mid-size businesses, large organizations, and divisions of enterprises; and LinkedIn online professional network. Its Intelligent Cloud segment licenses server products and cloud services, such as Microsoft SQL Server, Windows Server, Visual Studio, System Center, and related CALs, as well as Azure, a cloud platform; and enterprise services, such as Premier Support and Microsoft Consulting that assist in developing, deploying, and managing Microsoft server and desktop solutions, as well as providing training and certification to developers and IT professionals on Microsoft products. The company's More Personal Computing segment comprises Windows OEM, volume, and other non-volume licensing of the Windows operating system; patent licensing, Windows Internet of Things, MSN display advertising, and Windows Phone licensing system; devices, including Microsoft Surface, phones, and PC accessories; and search advertising, including Bing and Bing Ads. It also provides gaming platforms, including Xbox hardware, Xbox Live, video games, and third-party video games. The company markets and distributes its products through original equipment manufacturers, distributors, and resellers, as well as through online and Microsoft retail stores. It has a strategic partnership with CNH Industrial N.V. and BlackBerry Limited. The company was founded in 1975 and is headquartered in Redmond, Washington.",827320000000.00,739000000000.00,72.81,21.93,2.03,8.34,10.45,99260000000.00,12.88,55690000000.00,35080000000.00,11480000000.00,1.48,0.35,132270000000.00,17.22,88620000000.00,111.84,3.40,10.30,43470000000.00,14920000000.00,121.82,28.00,0.96,0.93,1.04,0.84,25.00,1.00,Strong Buy,1.7,Mr. Satya Nadella,Technology,Software - Infrastructure,124000
Johnson & Johnson,JNJ,0.029,"Johnson & Johnson, together with its subsidiaries, researches and develops, manufactures, and sells various products in the health care field worldwide. Its Consumer segment offers baby care products under the JOHNSON'S brand; oral care products under the LISTERINE brand; beauty products under the AVEENO, CLEAN & CLEAR, DABAO, JOHNSON'S Adult, LE PETITE MARSEILLAIS, NEUTROGENA, RoC, and OGX brands; over-the-counter medicines, including acetaminophen products under the TYLENOL brand; cold, flu, and allergy products under the SUDAFED brand; allergy products under the BENADRYL and ZYRTEC brands; ibuprofen products under the MOTRIN IB brand; and acid reflux products under the PEPCID brand. This segment also provides women's health products, such as sanitary pads under the STAYFREE and CAREFREE brands, and tampons under the o.b. brand; wound care products comprising adhesive bandages under the BAND-AID brand and first aid products under the NEOSPORIN brand. The company's Pharmaceutical segment offers various products in the areas of immunology, infectious diseases and vaccines, neuroscience, oncology, cardiovascular and metabolic, and pulmonary hypertension diseases. Its Medical Devices segment provides orthopedic products; general surgery, biosurgical, endomechanical, and energy products; electrophysiology products to treat cardiovascular disease; sterilization and disinfection products to reduce surgical infection; diabetes care products that include blood glucose monitoring; and vision care products, such as disposable contact lenses and ophthalmic products related to cataract and laser refractive surgery. The company markets its products to general public, retail outlets and distributors, wholesalers, hospitals, and health care professionals for prescription use, as well as for use in the professional fields by physicians, nurses, hospitals, eye care professionals, and clinics. Johnson & Johnson was founded in 1885 and is based in New Brunswick, New Jersey.",352830000000.00,355000000000.00,291.04,15.35,2.08,4.48,5.58,78690000000.00,29.30,51680000000.00,26370000000.00,1240000000.00,0.45,-0.01,15200000000.00,5.67,32550000000.00,51.45,1.58,23.58,21750000000.00,16970000000.00,143.20,13.00,2.03,1.97,2.09,1.90,4.00,0.00,Buy,2.3,Mr. Alex Gorsky,Healthcare,Drug Manufacturers - Major,134000
Exxon,XOM,0.040,"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States, Canada/Other Americas, Europe, Africa, Asia, and Australia/Oceania. It operates through Upstream, Downstream, and Chemical segments. The company also manufactures petroleum products; manufactures and markets commodity petrochemicals, including olefins, aromatics, polyethylene, and polypropylene plastics, as well as various specialty products; and transports and sells crude oil, natural gas, and petroleum products. As of December 31, 2017, it had approximately 25,827 net operated wells with proved reserves of 21.2 billion oil-equivalent barrels. The company has collaboration agreements with MagnaBond, LLC to develop technologies that enhances evaluation of well cementing, casing, and tubing. Exxon Mobil Corporation was founded in 1870 and is headquartered in Irving, Texas.",346840000000.00,387000000000.00,17.18,14.98,0.72,1.40,1.84,248390000000.00,58.20,78290000000.00,34990000000.00,20350000000.00,4.77,0.16,4120000000.00,0.97,40620000000.00,20.84,0.80,44.45,30410000000.00,12950000000.00,89.50,14.00,1.37,1.20,1.58,0.93,6.00,1.00,Buy,2.7,Mr. Darren W. Woods,Energy, Oil & Gas Integrated,69600
Bank of America,BAC,0.035,"Bank of America Corporation, through its subsidiaries, provides banking and financial products and services for individual consumers, small- and middle-market businesses, institutional investors, large corporations, and governments worldwide. It operates through four segments: Consumer Banking, Global Wealth & Investment Management (GWIM), Global Banking, and Global Markets. The Consumer Banking segment offers traditional and money market savings accounts, CDs and IRAs, noninterest- and interest-bearing checking accounts, and investment accounts and products; and credit and debit cards, residential mortgages, and home equity loans, as well as direct and indirect loans, such as automotive, recreational vehicle, and consumer personal loans. This segment provides its products and services through approximately 4,500 financial centers; 16,000 ATMs; call centers; and digital banking platforms. The GWIM segment offers investment management, brokerage, banking, and trust and retirement products; and wealth management solutions targeted to high net worth and ultra high net worth clients, as well as customized solutions to meet clients' wealth structuring, investment management, and trust and banking needs, including specialty asset management services. The Global Banking segment provides lending products and services, including commercial loans, leases, commitment facilities, trade finance, and real estate and asset-based lending; treasury solutions, such as treasury management, foreign exchange, and short-term investing options; working capital management solutions; and debt and equity underwriting and distribution, and merger-related and other advisory services. The Global Markets segment offers market-making, financing, securities clearing, settlement, and custody services, as well as risk management, foreign exchange, fixed-income, and mortgage-related products. Bank of America Corporation was founded in 1874 and is based in Charlotte, North Carolina.",310990000000.00,234000000000.00,18.02,10.71,1.35,3.67,1.31,84830000000.00,8.27,83960000000.00,n/a,18270000000.00,1.72,0.04,579080000000.00,55.06,n/a,n/a,n/a,23.74,63750000000.00,n/a,34.54,23.00,0.64,0.60,0.67,0.48,5.00,1.00,Buy,2,Mr. Brian Thomas Moynihan,Financial Services,Banks - Global,208000
JPMorgan & Chase,JPM,0.022,"JPMorgan Chase & Co. operates as a financial services company worldwide. It operates through four segments: Consumer & Community Banking, Corporate & Investment Bank, Commercial Banking, and Asset & Wealth Management. The Consumer & Community Banking segment offers deposit and investment products and services to consumers; lending, deposit, and cash management and payment solutions to small businesses; residential mortgages and home equity loans; and credit cards, payment processing services, auto loans and leases. The Corporate & Investment Bank segment provides investment banking products and services, including advising on corporate strategy and structure, and capital-raising in equity and debt markets, as well as loan origination and syndication; treasury services, such as cash management and liquidity solutions; and cash securities and derivative instruments, risk management solutions, prime brokerage, and research. This segment also offers securities services, including custody, fund accounting and administration, and securities lending products for asset managers, insurance companies, and public and private investment funds. The Commercial Banking segment offers financial solutions, including lending, treasury, investment banking, and asset management to corporations, municipalities, financial institutions, and nonprofit entities, as well as financing to real estate investors and owners. The Asset & Wealth Management segment provides investment and wealth management services across various asset classes, such as equities, fixed income, alternatives, and money market funds; multi-asset investment management services; retirement services; and brokerage and banking services comprising trusts, estates, loans, mortgages, and deposits. JPMorgan Chase & Co. was founded in 1799 and is headquartered in New York, New York.",394410000000.00,-136000000000.00,16.73,11.86,1.34,4.07,1.74,96810000000.00,27.53,93690000000.00,n/a,24830000000.00,7.02,0.35,1070000000000.00,315.71,584710000000.00,n/a,n/a,67.60,-15050000000.00,n/a,121.90,21.00,2.29,2.20,2.40,1.76,14.00,0.00,Buy,2.2,Mr. James Dimon,Financial Services,Banks - Global,253707
The Goldman Sachs Group Inc,GS,0.014,"The Goldman Sachs Group, Inc. operates as an investment banking, securities, and investment management company worldwide. It operates through four segments: Investment Banking, Institutional Client Services, Investing & Lending, and Investment Management. The Investment Banking segment provides financial advisory services, including strategic advisory assignments related to mergers and acquisitions, divestitures, corporate defense activities, restructurings, spin-offs, and risk management; and underwriting services, such as debt and equity underwriting of public offerings and private placements of various securities and other financial instruments, as well as derivative transactions with public and private sector clients. The Institutional Client Services segment is involved in client execution activities related to making markets in cash and derivative instruments for interest rate products, credit products, mortgages, currencies, commodities, and equities; and provision of securities services comprising financing, securities lending, and other prime brokerage services, as well as markets in and clears client transactions on primary stock, options, and futures exchanges. The Investing & Lending segment invests in and originates longer-term loans to provide financing to clients; and makes investments in debt securities and loans, public and private equity securities, and infrastructure and real estate entities, as well as provides unsecured and secured loans to retail clients through its digital platforms. The Investment Management segment offers investment management products and services; and wealth advisory services consisting of portfolio management, financial planning and counseling, and brokerage and other transaction services. The company serves corporations, financial institutions, governments, and individuals. The Goldman Sachs Group, Inc. was founded in 1869 and is headquartered in New York, New York.",90120000000.00,-229000000000.00,22.55,9.40,0.30,2.64,1.24,34080000000.00,86.12,28640000000.00,n/a,4240000000.00,10.58,0.26,766410000000.00,2029.12,448470000000.00,532.58,1.80,191.62,-15320000000.00,n/a,276.18,20.00,5.54,4.83,6.69,5.02,16.00,1.00,Buy,2.3,Mr. Lloyd C. Blankfein,Financial Services,Capital Markets,37300
Alphabet Inc,GOOG,n/a,"Alphabet Inc., through its subsidiaries, provides online advertising services in the United States and internationally. The company offers performance and brand advertising services. It operates through Google and Other Bets segments. The Google segment includes principal Internet products, such as Ads, Android, Chrome, Commerce, Google Cloud, Google Maps, Google Play, Hardware, Search, and YouTube, as well as technical infrastructure and newer efforts, including Virtual Reality. This segment also offers digital content, enterprise cloud services, and hardware products, as well as other miscellaneous products and services. The Other Bets segment includes businesses, such as Access, Calico, CapitalG, GV, Nest, Verily, Waymo, and X, as well as fiber Internet and Television services. Alphabet Inc. was founded in 1998 and is headquartered in Mountain View, California.",849500000000.00,704000000000.00,51.73,25.47,1.71,7.25,5.28,117250000000.00,169.02,65270000000.00,36710000000.00,16640000000.00,23.62,0.73,102820000000.00,148.13,5300000000.00,3.30,4.87,231.42,39180000000.00,20080000000.00,1323.00,32.00,10.42,9.24,11.90,9.57,18.00,13.00,Strong Buy,1.8,Mr. Lawrence Edward Page,Technology,Internet Content & Information,85050
