Name,sym,DividendYield_TTM,Profile,MarketCap,EnterpriseValue,PE_Ratio_TTM,ForwardPE,PEG_Ratio,PriceSales_TTM,PriceBook_MRQ,Revenue_TTM,RevenuePerShare_TTM,GrossProfit_TTM,EBITDA_TTM,NetIncome_TTM,DilutedEPS_TTM,QuarterlyEarningsGrowth_YOY,TotalCash,TotalCashPerShare_MRQ,TotalDebt_MRQ,TotalDebtEquity_MRQ,CurrentRatio_MRQ,BookValuePerShare_MRQ,OperatingCashFlow_TTM,LeveredCashFlow_TTM,PriceTarget_1Yr,NoOfAnalysts_currQ,AvgEstimateEPS_currQ,LowEstimateEPS_currQ,HighEstimateEPS_currQ,YearAgoEPS_currQ,UpEPSRev_last30days,LowerEPSRev_last30days,AnalystConsensus,AnalystScore_1_sBUY_to_5_sSELL,CEO,Sector,Industry,Employees
Apple Inc,AAPL,0.016,"Apple Inc. designs, manufactures, and markets mobile communication and media devices, and personal computers to consumers, and small and mid-sized businesses; and education, enterprise, and government customers worldwide. The company also sells related software, services, accessories, networking solutions, and third-party digital content and applications. It offers iPhone, a line of smartphones; iPad, a line of multi-purpose tablets; and Mac, a line of desktop and portable personal computers, as well as operating systems comprising iOS, macOS, watchOS, and tvOS. The company also provides iWork, an integrated productivity suite that helps users create, present, and publish documents, presentations, and spreadsheets; and other application software, such as Final Cut Pro, Logic Pro X, and FileMaker Pro. In addition, it offers Apple TV that connects to consumers' TV and enables them to access digital content directly for streaming high definition video, playing music and games, and viewing photos; Apple Watch, a personal electronic device; and iPod touch, a flash memory-based digital music and media player. Further, the company sells Apple-branded and third-party accessories, such as headphones, displays, storage devices, Beats products, and other connectivity and computing products and supplies. Additionally, it offers iCloud, a cloud service that stores music, photos, contacts, calendars, mail, documents, and others; AppleCare, which offers support options for its customers; and Apple Pay, a cashless payment service. The company sells and delivers digital content and applications through the iTunes Store, App Store, Mac App Store, TV App Store, iBooks Store, and Apple Music. It also sells its products through its retail and online stores, and direct sales force, as well as through third-party cellular network carriers, wholesalers, retailers, and value-added resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",932300000000.00,958000000000.00,18.35,14.26,1.30,3.77,7.39,247420000000.00,48.32,88190000000.00,76380000000.00,53320000000.00,10.34,0.25,87490000000.00,17.89,121840000000.00,96.03,1.46,25.67,67220000000.00,43840000000.00,203.22,31.00,2.18,2.10,2.28,1.67,4.00,1.00,Buy,2,Mr. Timothy D. Cook,Technology,Consumer Electronics,100000
Visa,V,0.006,"Visa Inc. operates as a payments technology company worldwide. The company facilitates commerce through the transfer of value and information among consumers, merchants, financial institutions, businesses, strategic partners, and government entities. It operates VisaNet, a processing network that enables authorization, clearing, and settlement of payment transactions; and offers fraud protection for account holders and assured payment for merchants. The company also offers gateway services for merchants to accept, process, and reconcile payments; manage fraud; and safeguard payment security online, as well as processing services for participating issuers of visa debit, prepaid, and ATM payment products. In addition, it provides digital products, including Visa Checkout that offers consumers an expedited, and secure payment experience for online transactions; and Visa Direct, a push payment product platform, that allows businesses, governments, and consumers to use the Visa network to transfer funds from an originating account to another via a debit, prepaid, or credit card number, as well as Visa token service that replaces the card account numbers from the transaction with a token. Further the company offers corporate (travel) and purchasing card products, as well as value-added services. It provides its services under the Visa, Visa Electron, Interlink, V PAY, and PLUS brands. Visa Inc. was incorporated in 2007 and is headquartered in San Francisco, California.",283910000000.00,317000000000.00,34.65,25.80,1.62,14.67,10.73,19360000000.00,8.52,17740000000.00,13190000000.00,9000000000.00,3.94,5.06,11720000000.00,5.23,16620000000.00,48.75,1.94,12.77,11890000000.00,9660000000.00,157.06,34.00,1.20,1.14,1.25,0.90,7.00,1.00,Strong Buy,1.8,Mr. Alfred Francis Kelly Jr.,Financial Services,Credit Services,n/a
Wells Fargo & Company,WFC,0.028,"Wells Fargo & Company, a diversified financial services company, provides retail, commercial, and corporate banking services to individuals, businesses, and institutions. The company's Community Banking segment offers checking and savings accounts; credit and debit cards; and automobile, student, mortgage, home equity, and small business loans. Its Wholesale Banking segment offers commercial loans and lines of credit, letters of credit, asset-based lending, equipment leasing, international trade facilities, trade financing, collection, foreign exchange, treasury management, merchant payment processing, institutional fixed-income sales, commodity and equity risk management, corporate trust fiduciary and agency, and investment banking services, as well as online/electronic products. This segment also provides construction, and land acquisition and development loans; secured and unsecured lines of credit; interim financing arrangements; rehabilitation loans; affordable housing loans and letters of credit; loans for securitization; and real estate and mortgage brokerage services. The company's Wealth and Investment Management segment offers financial planning, private banking, credit, and investment management and fiduciary services, as well as retirement and trust services. It serves clients through approximately 8,300 locations and 13,000 ATMs; online and mobile banking; and offices in 42 countries. Wells Fargo & Company was founded in 1852 and is headquartered in San Francisco, California",283720000000.00,237000000000.00,14.52,11.27,1.40,3.30,1.57,86080000000.00,17.45,85860000000.00,n/a,20050000000.00,4.03,-0.09,372600000000.00,76.46,n/a,n/a,n/a,37.20,20810000000.00,n/a,61.83,25.00,1.18,1.11,1.29,0.84,8.00,0.00,Buy,2.5,Mr. Timothy J. Sloan,Financial Services,Banks - Global,265700
United Health,UNH,0.014,"UnitedHealth Group Incorporated operates as a diversified health care company in the United States. It operates through four segments: UnitedHealthcare, OptumHealth, OptumInsight, and OptumRx. The UnitedHealthcare segment offers consumer-oriented health benefit plans and services for national employers, public sector employers, mid-sized employers, small businesses, and individuals; health care coverage, and health and well-being services to individuals age 50 and older, addressing their needs for preventive and acute health care services, as well as services dealing with chronic disease and other specialized issues for older individuals; and Medicaid plans, Children's Health Insurance Program, and health care programs; and health and dental benefits. The OptumHealth segment provides access to networks of care provider specialists, health management services, care delivery, consumer engagement, and financial services. This segment serves individuals through programs offered by employers, payers, government entities, and directly with the care delivery systems. The OptumInsight segment offers software and information products, advisory consulting arrangements, and services outsourcing contracts to hospital systems, physicians, health plans, governments, life sciences companies, and other organizations. The OptumRx segment provides pharmacy care services and programs, including retail network contracting, home delivery and specialty pharmacy, and purchasing and clinical, as well as develops programs in areas, such as step therapy, formulary management, drug adherence, and disease/drug therapy management. UnitedHealth Group Incorporated was founded in 1974 and is based in Minnetonka, Minnesota.",244990000000.00,255000000000.00,22.45,17.72,1.31,1.18,5.16,207620000000.00,214.71,47010000000.00,17590000000.00,11220000000.00,11.35,0.31,22040000000.00,22.94,25580000000.00,68.53,0.67,49.43,15510000000.00,15310000000.00,283.70,21.00,3.29,3.20,3.35,2.66,5.00,1.00,Strong Buy,1.5,Mr. Stephen J. Hemsley,Healthcare,Health Care Plans,285000
Chevron Corp,CVX,0.036,"Chevron Corporation, through its subsidiaries, engages in integrated energy, chemicals, and petroleum operations worldwide. The company operates in two segments, Upstream and Downstream. The Upstream segment is involved in the exploration, development, and production of crude oil and natural gas; processing, liquefaction, transportation, and regasification associated with liquefied natural gas; transportation of crude oil through pipelines; and transportation, storage, and marketing of natural gas, as well as operates a gas-to-liquids plant. The Downstream segment engages in refining crude oil into petroleum products; marketing crude oil and refined products; transporting crude oil and refined products through pipeline, marine vessel, motor equipment, and rail car; and manufacturing and marketing commodity petrochemicals, and fuel and lubricant additives, as well as plastics for industrial uses. It is also involved in the cash management and debt financing activities; insurance operations; real estate activities; and technology businesses. The company was formerly known as ChevronTexaco Corporation and changed its name to Chevron Corporation in 2005. Chevron Corporation was founded in 1879 and is headquartered in San Ramon, California.",244260000000.00,274000000000.00,23.91,14.76,0.28,1.83,1.62,133610000000.00,70.80,39470000000.00,24120000000.00,10150000000.00,5.34,0.36,6500000000.00,3.40,39740000000.00,26.22,1.04,78.68,21780000000.00,8270000000.00,146.79,14.00,2.24,1.85,2.78,0.85,6.00,0.00,Buy,2,Mr. Michael K. Wirth,Energy,Oil & Gas Integrated,51900
The Home Depot,HD,0.021,"improvement products, lawn and garden products, and décor products, as well as provide installation, home maintenance, and professional service programs to do-it-yourself and professional customers. The company also offers installation programs that include flooring, cabinets, countertops, water heaters, and sheds; and professional installation in various categories sold through its in-home sales programs, such as roofing, siding, windows, cabinet refacing, furnaces, and central air systems, as well as acts as a contractor to provide installation services to its do-it-for-me customers through third-party installers. In addition, it provides tool and equipment rental services. The company primarily serves home owners; and professional renovators/remodelers, general contractors, handymen, property managers, building service contractors, and specialty tradesmen, such as installers. It also sells its products through online. As of January 28, 2018, the company operated 2,284 stores, including 1,980 in the United States, including the Commonwealth of Puerto Rico, and the territories of the U.S. Virgin Islands and Guam; 182 in Canada; and 122 in Mexico. The Home Depot, Inc. was founded in 1978 and is based in Atlanta, Georgia.",226760000000.00,247000000000.00,25.53,19.31,1.39,2.22,134.45,101960000000.00,87.41,34460000000.00,16800000000.00,9020000000.00,7.70,0.19,3600000000.00,3.12,25790000000.00,15289.93,1.17,1.46,11450000000.00,8310000000.00,212.03,30.00,2.84,2.76,2.91,2.25,2.00,1.00,Strong Buy,1.9,Mr. Craig A. Menear,Consumer Cyclical,Home Improvement Stores,400000
AT&T,T,0.061,"AT&T Inc. provides communications and digital entertainment services. The company operates through four segments: Business Solutions, Entertainment Group, Consumer Mobility, and International. The Business Solutions segment offers wireless services, strategic services, legacy voice, data services, wireless equipment, and other services to multinational companies, governmental and wholesale customers, and individual subscribers. The Entertainment Group segment provides video entertainment and audio programming channels to approximately 25 million subscribers; broadband and Internet services to 13.5 million residential subscribers; local and long-distance voice services to residential customers, as well as DSL Internet access; and voice services provided over IP-based technology. The Consumer Mobility segment offers postpaid and prepaid wireless voice and data communications services to consumers, and wireless wholesale and resale subscribers; consulting, advertising, and application and co-location services; and sells a variety of handsets, wirelessly enabled computers, and personal computer wireless data cards through company-owned stores, agents, or third-party retail stores, as well as accessories, such as carrying cases, hands-free devices, and other items. The International segment offers digital television services, including local and international digital video entertainment and audio programming under the DIRECTV and SKY brands throughout Latin America. This segment offers postpaid and prepaid wireless services in Mexico to approximately 15 million subscribers under the AT&T and Unefon brands; and sells a range of handsets. The company was formerly known as SBC Communications Inc. and changed its name to AT&T Inc. in November 2005. AT&T Inc. was founded in 1983 and is based in Dallas, Texas",232720000000.00,316000000000.00,6.46,8.83,1.43,1.46,1.35,159220000000.00,25.84,83170000000.00,45010000000.00,30640000000.00,4.95,0.34,48870000000.00,7.96,168830000000.00,111.39,1.11,23.74,39130000000.00,18030000000.00,35.91,19.00,0.95,0.92,1.00,0.74,17.00,0.00,Buy,2.6,Mr. Randall L. Stephenson,Communication Services,Telecom Services,249240
Pfizer,PFE,0.037,"Pfizer Inc. discovers, develops, manufactures, and sells healthcare products worldwide. It operates in two segments, Pfizer Innovative Health (IH) and Pfizer Essential Health (EH). The IH segment focuses on the development and commercialization of medicines and vaccines, and consumer healthcare products in various therapeutic areas, including internal medicine, vaccines, oncology, inflammation and immunology, and rare diseases, as well as consumer healthcare, such as over-the-counter brands comprising dietary supplements, pain management, gastrointestinal, and respiratory and personal care. This segment offers products primarily under the Prevnar 13/Prevenar 13, Xeljanz, Eliquis, Lyrica, Enbrel, Ibrance, Xtandi, Advil, and Centrum brands. The EH segment offers products that would lose or have lost marketing patent protection; branded generic products; generic sterile injectable products; biosimilars; and anti-infectives. It provides products under the Lipitor, Premarin family, Norvasc, Lyrica, Celebrex, Viagra, Inflectra/Remsima, Pristiq, Zyvox, Vfend, Revatio, Inspra, Medrol, Sulperazon, Fragmin, Tygacil, Nivestim, and Retacrit brand names. This segment also engages in the research and development, as well as contract manufacturing activities. Pfizer Inc. has collaboration and/or co-promotion agreements with Bristol-Myers Squibb Company for the development of Eliquis; Astellas Pharma US, Inc. for developing Xtandi; Merck KGaA for the development of Bavencio; and Neofluidics, LLC to develop a microfluidics-based platform. It serves wholesalers, retailers, hospitals, clinics, government agencies, pharmacies, and individual provider offices, as well as centers for disease control and prevention. Pfizer Inc. was founded in 1849 and is headquartered in New York, New York.",226110000000.00,247000000000.00,10.73,12.59,1.96,4.29,3.22,52670000000.00,8.84,41960000000.00,21290000000.00,21750000000.00,3.59,0.14,11470000000.00,1.96,41270000000.00,58.50,1.27,11.99,16870000000.00,12370000000.00,39.80,14.00,0.74,0.72,0.77,0.67,2.00,1.00,Buy,2.6,Mr. Ian C. Read,Healthcare,Drug Manufacturers - Major,90200
Intel,INTC,0.023,"Intel Corporation designs, manufactures, and sells computer, networking, data storage, and communication platforms worldwide. The company operates through Client Computing Group, Data Center Group, Internet of Things Group, Non-Volatile Memory Solutions Group, Programmable Solutions Group, and All Other segments. Its platforms are used in notebooks, desktops, and wireless and wired connectivity products; enterprise, cloud, and communication infrastructure market segments; and retail, automotive, industrial, and various other embedded applications. The company offers microprocessors, and system-on-chip and multichip packaging products. It also provides NAND flash memory products primarily used in solid-state drives; and programmable semiconductors and related products for communications, data center, industrial, military, and automotive markets. In addition, the company develops computer vision and machine learning, data analysis, localization, and mapping for advanced driver assistance systems and autonomous driving. It serves original equipment manufacturers, original design manufacturers, industrial and communication equipment manufacturers, and cloud service providers. The company was founded in 1968 and is based in Santa Clara, California",221160000000.00,254000000000.00,20.58,11.19,1.13,3.45,3.15,64030000000.00,13.66,39120000000.00,27510000000.00,11090000000.00,2.31,0.50,16200000000.00,3.48,28610000000.00,40.78,1.59,15.06,24500000000.00,11860000000.00,57.00,32.00,1.14,1.02,1.16,1.01,30.00,0.00,Buy,2.5,Mr. Andy D. Bryant,Technology,Semiconductors,103700
Verizon,VZ,0.047,"Verizon Communications Inc., through its subsidiaries, offers communications, information, and entertainment products and services to consumers, businesses, and governmental agencies worldwide. The company's Wireless segment provides wireless voice and data services; Internet access on various notebook computers and tablets; multimedia, business-focused, and location-based services, as well as international travel services; and network access services to deliver various Internet of Things products and services. This segment also provides wireless devices, including smartphones and basic phones, wearables, and tablets and other Internet access devices. As of December 31, 2017, it had 116.3 million retail connections. Its Wireline segment offers traditional circuit-based network products and services; networking solutions, comprising private Internet protocol (IP), Ethernet, and software-defined wide area network, as well as cyber security services; local exchange, regional, long distance, and toll-free calling services; voice messaging and conferencing services; and workforce productivity and customer contact center solutions, as well as residential fixed connectivity solutions, including Internet, TV, and voice services under the Fios brand name. This segment also provides premises equipment, as well as installation, maintenance, and site services; data, voice, local dial tone, and broadband services primarily to local, long distance, and wireless carriers; voice and networking products, Fios services, IP networking, voice solutions, security, and managed information technology services for small and medium businesses, state and local governments, and educational institutions; and security and managed network services. The company was formerly known as Bell Atlantic Corporation and changed its name to Verizon Communications Inc. in June 2000. Verizon Communications Inc. was founded in 1983 and is headquartered in New York, New York.",218730000000.00,328000000000.00,6.94,11.19,1.91,1.71,4.31,127990000000.00,31.30,75650000000.00,47940000000.00,31200000000.00,7.63,0.32,1920000000.00,0.47,119930000000.00,229.11,0.98,12.29,30580000000.00,9810000000.00,56.35,25.00,1.19,1.09,1.23,0.98,9.00,10.00,Buy,2.4,Mr. Lowell C. McAdam,Communication Services,Telecom Services,154700
Proctor & Gamble,PG,0.006,"The Procter & Gamble Company provides branded consumer packaged goods to consumers in the United States, Canada, Puerto Rico, Europe, the Asia Pacific, Greater China, Latin America, India, the Middle East, and Africa. The company's Beauty segment offers hair care products, including conditioners, shampoos, styling aids, and treatments; and skin and personal care products, such as antiperspirant and deodorant, personal cleansing, and skin care products. It markets its products under Head & Shoulders, Pantene, Rejoice, Olay, Old Spice, Safeguard, and SK-II brands. The company's Grooming segment provides shave care products comprising female and male blades and razors, pre- and post-shave products, and other shave care products; and appliances that include electric razors and epilators under the Braun, Fusion, Gillette, Mach3, Prestobarba, and Venus brands. Its Health Care segment offers toothbrushes, toothpastes, and other oral care products; and gastrointestinal, rapid diagnostics, respiratory, vitamin/mineral/supplement, and other personal health care products under the Crest, Oral-B, Prilosec, and Vicks brands. The company's Fabric & Home Care segment provides fabric enhancers, laundry additives, and laundry detergents; and air care, dish care, P&G professional, and surface care products under the Ariel, Downy, Gain, Tide, Cascade, Dawn, Febreze, Mr. Clean, and Swiffer brands. Its Baby, Feminine & Family Care segment offers baby wipes, diapers, and pants; adult incontinence and feminine care products; and paper towels, tissues, and toilet paper under the Luvs, Pampers, Always, Tampax, Bounty, and Charmin brands. The company sells its products through mass merchandisers, grocery stores, membership club stores, drug stores, department stores, distributors, baby stores, specialty beauty stores, e-commerce, high-frequency stores, and pharmacies. The Procter & Gamble Company was founded in 1837 and is based in Cincinnati, Ohio.",202050000000.00,219000000000.00,21.34,18.31,3.24,3.04,3.79,66410000000.00,26.13,33120000000.00,18030000000.00,9810000000.00,3.77,0.00,15530000000.00,6.18,35300000000.00,64.24,0.91,21.21,14360000000.00,10350000000.00,81.38,19.00,0.90,0.86,0.93,0.85,1.00,0.00,Buy,2.7,Mr. David S. Taylor,Consumer Defensive,Household & Personal Products,95000
